,review,label,prediction
132,"this is my second digital camera , though i also use one at work and have some experience with several nikon and canon models . ",0,0
133,"the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size . ",1,1
134,with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation . ,0,1
135,the auto setting does a great job most of the time but there are manual settings for those who want them . ,1,1
136,"if something were to happen to my nikon coolpix 4300 , i would order another just like it . ",0,0
137,after much research i decided on the nikon coolpix 4300 . ,0,0
138,it has many great features and very few bad ones . ,1,1
139,"it takes excellent pics and is very easy to use , if you read the manual . ",1,1
140,if you cant get great pics from this camera its because you havent read the manual . ,0,0
141,the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too . ,2,1
142,downloads are a snap and quick . ,1,0
143,controls easy yo use and easy to get to . ,1,1
144,i 'm extremely glad i bought this camera . ,1,2
145,really happy with this little camera . ,1,1
146,"it is n't big and offensive , though you would n't know it by looking at the pics it takes . ",1,2
147,"got it for christmas , still learning a few of the settings , but i do n't take pictures every single day . ",0,0
148,"settings for just about everything , beautiful pics and beautiful prints . ",1,1
149,"i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive . ",1,1
150,"did buy a 256mb compact flash , it holds a lot of pics at any resolution . ",0,0
151,"i only wish you could get high quality tiff images at all resolutions , but does n't seem any of the buget cameras do . ",0,0
152,"still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! ",1,1
153,this is a wonderful camera . ,1,1
154,my wife and i read and read and read reviews on different cameras for months . ,0,0
155,in the end this is the one that we decided upon and since have never had buyer 's remorse . ,0,2
156,"4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . ",1,1
157,one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting . ,1,1
158,this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much . ,1,0
159,the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner . ,1,2
160,100 % perfect if you put some thought and time into reading the manual before you take the photos . ,0,1
161,i took the camera and just gave it to someone . ,0,0
162,no instructions . ,0,0
163,just point and shoot and the photos were great . ,1,0
164,just imagine if you place a bit of knowledge when you take your photos . ,0,0
165,the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla . ,1,1
166,my pda becames a digital album . ,0,0
167,i have a 128mb card in it and can shoot over 150 hi res photos . ,0,0
168,"if you have to buy a camera on a buget, this has got to be the one . ",1,0
169,go get it . ,0,0
170,before they are sold out ! ,0,0
171,"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc. ",1,1
172,i bought my nikon coolpix4300 about a week ago . ,0,0
173,this is my first digital camera and i can say that i am quite impressed with the features that it has . ,1,2
174,it is easy enough to use for a beginner like me but it has plenty of features for me to grow into . ,1,1
175,i particularly like the way it aids me in taking my macro shots . ,1,0
176,my friends were impressed with the quality of the pictures i took ! ,1,0
177,one downside though is that autofocus does not work well when battery is low . ,2,1
178,i assume this is the case for most cameras since it does not have enough power to do autofocus . ,0,1
179,battery life is ok . ,1,0
180,i plan on buying a second battery and a larger cf for it . ,0,0
181,"great camera , and for the price you can 't beat it . ",1,0
182,i 've been using it for about 3 months now . ,0,0
183,i found the controls very intuitive and learned how to manuver through the menus quickly . ,1,1
184,the quality is superb . ,1,1
185,"the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person . ",1,2
186,"we use older versions 880 , 885 of this model in the office and i find them to produce excellent quality photos . ",0,1
187,"the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust . ",1,1
188,it comes with a 16mb flash card that you will need to upgrade ! ,0,0
189,"we got a 256mb card , and have been hard-pressed to fill it over a weekend . ",0,0
190,the only drawbacks that i have noticed : ,0,1
191,"it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot . ",2,0
192,"so , it 's a good idea to purchase an extra battery to insure that you are not left hanging . ",0,1
193,it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light . ,2,1
194,"i would say that this is not a major issue , but it can be slightly annoying if you care about these things . ",0,0
195,"it has a 3x optical zoom , which is average for these cameras . ",2,0
196,"for more , you sacrifice weight and size : more optical zoom requires more glass and focal length . ",0,0
197,"it does have a digital zoom on top of the optical zoom , but you sacrifice quality . ",0,0
198,"i set the camera to the "" manual "" mode for one main reason : ",0,0
199,in any other mode it autofocuses continuously and burns batteries . ,0,2
200,"in manual , you can set it to "" single af "" where it will focus by depressing the shudder button prior to taking the pic ; this is not really a hinderance , you just have to be familiar with its menus and features . ",0,0
201,"in reality , these are the only drawbacks this camera has , much less than many other models ! ",0,1
202,"it is easy to "" focus "" in on the drawbacks , so do n't think i hate this camera . ",0,1
203,it really is an awesome camera that is hard to beat for general-to moderate snapping . ,1,1
204,"for work , we use them in the field often , and they hold up really well . ",0,1
205,they take excellent macro shots as well . ,1,1
206,"the menus and features are easy to manipulate and access , and it takes silent movies . ",1,1
207,"i compared this to a lot of other cameras , believe me , it 's value for money . ",1,0
208,the picturers are amazing . ,1,2
209,"do n't waste time looking at anything else , just buy this one . ",0,2
210,it do n't get any better then the nikon 4300 . ,0,1
211,"i am a nikon fan , and owned and used slr nikon fe , n50 and n90s for many many years . ",0,0
212,"recently bought this coolpix 4300 along with a 256mb ultra flash card . as expected , i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models , and with added convenience of a digital camera that you can see pictures immediately . ",1,0
213,"i particularly like the "" txt "" file which records all the control information for all the pictures you take. ",1,0
214,the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them . ,1,0
215,"try to buy a high capacity ultra card , as it 's 2x as faster as the regular cf card . ",0,0
216,"consider the time you save during picture taking especially not missing a good moment and during download , it 's well worth the little extra money . ",0,1
217,"an extra rechargeable en-el 1 battery is also handy , so you will seldom run into "" out of battery "" situation . ",0,1
218,use the rechargeable because that saves you money and helps the environment in a long run . ,0,0
219,"one thing puzzles me is that for "" fine and 2200 + "" quality pictures , one ultra 256mb cf card can only hold 130-140 pics , but the size of the pictures are only around 1.2 mb , the math does not add up . ",0,2
220,i would expecct the card to hold over 200 pictures for size of 1.2 mb/per . ,0,0
221,anybody can explain that ? ,0,0
222,"a nikon will make you happier and leave you lots of good memories , as always . ",1,1
223,i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate . ,1,1
224,we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken . ,1,2
225,i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it ! ,1,2
226,"first of all , let 's start with my needs : 1 $ 500 budget 2 4mp resolution , 3 optical clarity and color , 4 fast - very little shutter lag and quick sep-up for next picture , 5 compact size , and 6 good camera grip to minimize camera shake . ",0,1
227,"for three months , i 've researched the internet and magazines , queried various sales personnel , and took hands-on in-store test drives . ",0,0
228,and i finally settled on the nikon coolpix 4300 . ,0,0
229,"i have it for a week now , and this camera has exceeded my expectations . ",1,0
230,the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away . ,1,1
231,the shutter lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame advance is about a couple seconds using a high speed 12x 128mb compact flash card a salesperson recommended the high speed card since next frame advance speed was important to me - and it was only a few dollars more . ,0,1
232,uploading the images to my windows-based pc is very fast and simple . ,1,1
233,"the only drawbacks i 've encountered are : 1 indoor shots from a distance > 8ft lack contrast and color , but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon slr . ",2,2
234,"right now , i 'm researching for an inexpensive slave flash unit that 's designed for digital cameras . ",0,2
235,2 the battery life seems to be on the short side but adequate for most situations . ,2,2
236,i got 45 outdoor and 15 indoor shots with the monitor on turning the camera off and on over a 4 hour period before the battery died . ,0,0
237,an extra for a back-up battery would be a good investment . ,0,1
238,"3 the picture editing software it came with is adequate , but not very robust . ",2,2
239,i 'll still use my photosuite for editing . ,0,0
240,one more thing about indoor shots - many of the reviews knocked this camera for low light focusing . ,0,0
241,"just for the heck of it , i took it into my dark kitchen with only indirect light coming in though the door , and the focusing was just fine . ",0,1
242,"in summary , i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range . ",1,1
243,"- since i wrote the review above in january 2003 , i still love this camera . ",0,1
244,i 've picked up a few accessories that i found to be useful . ,0,0
245,i bought a digi-slave dsf-1s flash unit . ,0,0
246,"i do n't use a bracket , i just hold it above my head and aim the flash with my left hand . ",0,0
247,"i also got a ur-e 4 step down ring adapter , lc-e 900 lens cap , and the nikon 28mm filter set . ",0,0
248,this provides added protection for the camera lens and allows the use of filters . ,0,0
249,i leave the adapter and uv filter on all the time . ,0,0
250,this also allows you to turn on the camera on without having to remove the lens cap . ,0,0
251,"the downside is that you might accidentally take pictures with the lens cap on , the camera wo n't fit in the small cases , and 28mm filters are expensive and hard to find . ",0,1
252,great camera . ,1,0
253,i am impressed with how easy this camera is to use . ,1,1
254,it takes great pictures . ,1,0
255,"the manual is easy to understand , and it is mostly idiot proof . ",1,1
256,"it is small , unlike my canon slr , so it easily fits in my pocket . ",1,0
257,i have not yet figured out how to make it snap quick pictures for action shots . ,0,0
258,now where did i put that manual ? ,0,0
259,do n't let my five star rating fool you . ,0,0
260,the nikon coolpix 4300 deserves six . ,0,0
261,i got this camera about a month ago and i can 't put it down . ,1,0
262,"i was considering buying the minolta f-100 and the sony dsc-p 9 , but at the camera shop , realized this one went above and beyond . ",0,0
263,i selected the 4300 right away and have gotten high quality pictures every time . ,1,1
264,autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all . ,1,2
265,i would also recommend buying an extra battery and at least a 128 mb compact flash type i memory card . ,0,1
266,buy this camera and savour it . ,0,0
267,i reviewed several digital cameras before settling on this one . ,0,0
268,this one was rated very high by several people check out this site and epinions.com . ,0,0
269,i have not been disappointed with my purchase . ,1,2
270,picture quality in outdoor settings is indistinguishable from 35mm . ,1,2
271,"on average , indoor shots with a flash are not quite as good as 35mm . ",2,1
272,"however , the convenience of using digital far outweighs the slightly less accurate indoor pictures . ",0,1
273,i am extremely satisfied with this camera . ,1,1
274,i purchased it from amazon on a since discontinued promotion . ,0,0
275,buy an extra battery - life is good but still somewhat short . ,0,1
276,do n't buy this camera if you are not going to purchase a 128 megabyte card . ,0,0
277,you need the storage to hold a decent amount of shots at 4 megapixel resolution . ,0,0
278,i have one thing to say to the numbskulls who complain that this camera 's controls are confusing and hard to remember : ,0,1
279,read the directions ! ,0,0
280,the regular mode in this camera works for 80 % of settings . ,0,0
281,"the "" scene "" mode works well for the remainder of shots that are not going to be in a "" regular "" setting . ",1,1
282,i wish the camera had a higher optical zoom so that i could take better wildlife photos . ,0,1
283,"however , its 3x optical setting is acceptable for 70 % of the shots that i take . ",1,0
284,"buy this camera , you wo n't regret it . ",0,0
285,"if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 ! ",1,2
286,"after a lengthy and extensive journey for a feature-loaded , high performance , travel size camera , i initially gravitated to this little gem because of the superior picture quality 4 mega pixel . ",1,1
287,"after using it for about a month , i can state unequivocably that this nikon definitely delivers a huge bang for the buck . ",1,0
288,its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake . ,1,1
289,"yes , the picture quality and features which are too numerous to mention are unmatched for any camera in this price range . ",1,1
290,the design and construction are excellent -- as is the legendary quality of the nikon optics . ,1,1
291,i own a 35mm slr camera and this is my second digital . ,0,0
292,"if you 're seeking that elusive state of photographic euphoria that is free of buyer 's remorse and filled with cool , then travel to the world of the coolpix 4300 ! ",0,2
293,had it for a week . ,0,0
294,"there are so many functions in this little , yet powerful camera ! ",1,1
295,seriously ! i love it ! ,1,0
296,"my room is so dark and when i tried taking pics of it with my old camera , they came out black , but with this , they look the same in the picture as in real life . ",0,2
297,"better actually cause my carpet looks clean , lol . ",0,1
298,but this camera is great ! ,1,0
299,the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to . ,1,2
300,"i can 't connect it to my computer though , but that 's a problem with windows me , not the camera . ",0,2
301,"if you have windows me you should upgrade to xp anyway , lol . ",0,0
302,but it works perfectly fine on my parent 's computer . ,0,1
303,"it does have a lense cap , but it wo n't let you take pics with it on which is real good . ",1,1
304,the battery recharges ral fast and the recharger thingy that comes with is real nice . ,1,1
305,"ooh , and i dropped it and it still works fine : this little camera has so many features i have n't even gotten to all of them yet . ",1,2
306,"i did quite a bit of research before buying this camera , and this one had everything i was looking for . ",0,0
307,"it 's easy for beginners to use , but has features that more serious photographers will love , so it 's an excellent camera to grow into . ",1,1
308,"it 's light weight enough to take with you everywhere , but powerful enough to get outstanding pix . ",1,1
309,"i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots . ",1,1
310,i 'm amazed at the photo quality -- prints are indistinguishable from 35mm prints . ,1,2
311,"i only have one complaint , and that is the 8mb card included . ",2,0
312,8mb for a camera like this is a joke . ,2,2
313,a card with more memory is a must . ,0,0
314,"a minor quibble , since most cameras on the market still only include the 8mb cards . ",0,0
315,"if you do any research into digital cameras , you 'll quickly find that this camera is just about the best value out there . ",0,1
316,these are the reasons i think it 's great : ,0,0
317,1 it has all the features an amatuer photo-enthusiast would want . ,1,0
318,2 it is easy enough for my grandmother to use . ,1,1
319,3 it is very compact but the controls are so well designed that they 're still easy to use . ,1,1
320,4 it has optional lenses like wide angles and extra zooms . ,0,0
321,"5 for "" digital film "" it uses compact flash cards , which are easy to find , cheap , reliable and supported by many other devices you may have at hoome . ",0,1
322,6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model . ,1,0
323,7 picture quality is excellent . ,1,1
324,8 battery life is excellent . ,1,1
325,9 3x built-in optical zoom is a lot for this price range . ,1,0
326,10 great price for all the features . ,1,0
327,here 's what you may miss or be annoyed by with this camera : ,0,2
328,1 no direct firewire to the camera . ,2,0
329,"there is usb , though . ",0,0
330,"2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . ",2,2
331,"this does n't affect the picture , of course . ",0,0
332,you just have to use the lcd viewfinder to see the whole picture . ,0,0
333,it 's no problem for me personally . ,0,2
334,3 battery has to be removed to recharge . ,0,0
335,"4 an ac adapter for powering the camera while the battery 's out is not included , although one can be purchased separately . ",0,0
336,5 two different adapters -- ur-e 4 and ur-e 7 -- are required for some attachment lenses . ,0,0
337,"most of these "" annoyances "" , though , are comparable to what you 'll find on other cameras in this price range . ",0,2
338,"i am new to the whole digital camera thing ; well , new to the whole camera thing period , really . ",0,1
339,"this camera was affordable , very easy to learn , and produces spectacular images . ",1,1
340,the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual . ,1,1
341,it 's size also makes it ideal for travel . ,1,1
342,"overall the nikon 4300 is a very dependable , robust , and useful little camera . ",1,0
343,awesome camera with huge print quality in a tiny package . ,1,1
344,"the same 4mp chip from the 4500 camera , plus a 3x zoom with the ability to expand upon that with extenders , great closeup mode , long lasting rechargable battery , etc etc. ",1,0
345,"in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use , small good for travel , and provides excellent , sharp images . ",1,1
